playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478047,2024,Michael Bunting,NSH,L,other,76,2237,37,26.19,0.37,0.42,0.65,0.45,0.64,0.47,228,13.06,3.93,1.21,2.77,0.65,6.69,2.75,2.54,3.93,2.54,1,1,9,9,3,21,3,1,3,0,2,0,10,2,8,17,0,0,0,2,0,0,8,3,7,0.25,0.41,3.27,0,1,0,21,18,18,0,0.38,1.07,1.47,2.84,2.84,2.42,37,11,0,0,26,6,3,18,10,0,0,3275,0,0,0,2,39.72,7.99,6.02,7.99,6.02,30,25,31,86,5,5,0,28,17,10,1.05,2.14,4.8,1,3,1,86,55,55,1.11,2.24,2.24,6.87,6.87,6,19.5,13.43,12.82,13.43,12.82,18,13,15,46,13,0,0,7,1,23,0.26,0.1,13.07,0,0,13,46,31,31,0.24,0,0,13.66,13.66,13.04,7.28,10.09,72,87,0,0,0,0,0,0
8478047,2024,Michael Bunting,NSH,L,all,76,70819,1474,43.7,0.55,0.46,0.58,0.48,0.58,0.47,442,177,25.19,13.12,39.4,6.19,91.25,61.85,22.85,25.01,22.68,12,7,155,82,76,313,38,19,24,4,37,0,69,88,136,218,26,58,5,70,13,58,137,69,31,4.1,8.95,12.13,3,8,8,311.22,237,235.42,11,3.04,5.09,8.28,19.95,19.85,19.21,1474,231,82,216,945,232,204,215,823,5,8,206470,58,50,25,19,720.83,73.36,68.43,73.39,68.47,625,358,408,1391,67,89,10,702,199,82,19.41,25.5,28.45,21,25,21,1386.61,983,980.93,11.77,19.02,19.02,66.1,66.23,63.74,522.98,58.97,56.18,59.82,56.92,506,220,287,1013,60,63,4,519,133,74,14.68,17.1,27.19,19,22,19,1025.13,726,735.86,7.1,11.43,11.43,54.65,55.28,54.07,161.54,187.75,3221,3522,0,0,0,0,0,0
8478047,2024,Michael Bunting,NSH,L,5on5,76,59813,1294,43.7,0.52,0.48,0.53,0.5,0.53,0.49,397,126.76,14.67,8.67,29.83,4.42,64.91,48.5,14.01,14.49,13.84,9,3,111,60,59,230,19,7,17,1,29,0,45,73,104,164,26,58,2,67,11,51,104,51,16,3.11,6.74,4.81,3,3,1,228.22,171,169.42,11,1.82,3.25,4.47,12.01,11.92,11.8,1294,156,79,210,849,201,191,166,736,2,6,167868,58,50,25,17,528.95,45.92,44.29,45.96,44.33,458,268,317,1043,37,61,7,542,139,45,14.84,18.12,12.94,16,16,5,1038.61,726,723.93,7.08,12.21,12.21,40.79,40.92,40.4,476.83,43.09,40.93,43.94,41.67,457,198,268,923,45,61,4,481,127,47,13.61,16.34,13.15,17,22,6,935.13,655,664.86,6.48,11.41,11.41,38.16,38.8,38.23,112.73,122.08,2661,2707,0.71,1.71,19,43,16,31
8478047,2024,Michael Bunting,NSH,L,4on5,76,6,2,2.58,0,0.53,0,0.27,0,0.4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.17,4,11,0,0,0,0,0,0
8478047,2024,Michael Bunting,NSH,L,5on4,76,8763,141,36.88,0.89,0.9,0.86,0.85,0.83,0.82,319,36.38,6.47,3.2,6.7,1.1,19.37,10.15,6.19,6.47,6.19,2,3,34,13,14,61,16,11,4,3,5,0,14,13,23,36,0,0,3,1,2,7,25,14,8,0.74,1.68,4.05,0,4,7,61,47,47,0,0.83,0.76,2.34,4.96,4.96,4.86,141,64,3,6,68,24,9,31,77,3,0,10857,0,0,0,0,151.35,19.33,18.01,19.33,18.01,136,65,60,261,25,23,3,132,42,27,3.51,5.1,10.72,4,6,15,261,201,201,3.55,4.57,4.57,18.31,18.31,17.21,26.66,2.45,2.43,2.45,2.43,31,9,4,44,2,2,0,31,5,4,0.81,0.67,0.97,2,0,0,44,40,40,0.39,0.02,0.02,2.82,2.82,2.8,23.81,2.6,311,54,0,0.01,0,1,0,1
8480950,2024,Ilya Lyubushkin,DAL,D,other,80,1868,33,11.7,0.44,0.57,0.17,0.48,0.18,0.49,158,1.19,0.42,0.06,0.18,0.05,0.86,0.44,0.41,0.42,0.41,0,1,0,2,0,2,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,1,0,1,0.01,0,0.4,0,0,0,2,2,2,1,0.02,0,0,0.43,0.43,0.43,33,0,13,2,18,0,5,5,23,0,0,5207,0,0,0,2,7.38,5.95,5.79,5.95,5.79,4,8,2,14,4,0,0,2,0,10,0.04,0,5.91,0,0,4,14,12,12,0.08,0,0,6.03,6.03,5.86,39.97,7.49,6.14,7.49,6.14,30,24,15,69,6,5,0,29,13,12,0.84,1.45,5.2,1,2,3,69,54,54,1.02,1.48,1.48,7.03,7.03,6.22,15.02,11.47,109,119,0,0,0,0,0,0
8480950,2024,Ilya Lyubushkin,DAL,D,all,80,83457,1763,10.38,0.42,0.55,0.41,0.54,0.41,0.52,338,65.75,2.33,3.35,18.4,2.23,39.13,29.56,2.28,2.36,2.3,4,9,51,44,51,146,14,1,6,0,13,0,26,49,50,94,16,32,0,84,20,109,93,1,1,1.82,0.11,0.4,1,0,0,148.55,95,96.32,72,0.68,1.28,0.03,2.98,3.02,2.94,1763,114,361,305,983,210,226,199,1128,0,0,206701,32,16,8,136,581.15,58.71,56.75,58.71,56.78,530,267,300,1097,53,60,3,559,168,70,16.66,20.62,21.42,21,17,15,1105.49,797,801.99,7.65,11.67,12.14,54.21,54.45,53.39,835.97,80.07,75.84,79.91,75.68,761,380,437,1578,74,76,8,835,217,89,23.44,25.47,31.16,22,27,25,1567.42,1141,1134.2,12.99,17.39,17.39,75.67,75.39,73.31,203.99,166.76,3688,3128,0,0,0,0,0,0
8480950,2024,Ilya Lyubushkin,DAL,D,5on5,80,70786,1535,10.38,0.49,0.5,0.47,0.51,0.47,0.49,367,61.4,1.82,3.21,17.8,2.09,37.37,26.71,1.78,1.85,1.8,4,8,49,40,51,140,13,1,6,0,13,0,24,45,48,88,15,30,0,76,17,103,88,1,0,1.72,0.11,0,1,0,0,142.55,89,90.32,67,0.64,1.28,0.03,2.43,2.47,2.4,1535,108,208,289,930,202,193,168,972,0,0,164056,30,16,8,109,543.57,49.64,47.96,49.64,47.99,493,254,295,1042,46,58,3,536,155,56,16.09,19,14.56,21,15,10,1050.49,747,751.99,7.23,11.47,11.94,44.93,45.17,44.37,622.51,51.88,50.19,51.71,50.03,565,286,345,1196,45,54,7,637,165,49,17.96,19.5,14.41,14,19,12,1185.42,851,844.21,7.88,11.11,11.11,48.65,48.37,47.72,121.7,119.55,2715,2625,8.56,0.32,155,9,123,6
8480950,2024,Ilya Lyubushkin,DAL,D,4on5,80,10699,176,11.95,0.13,0.13,0.11,0.17,0.14,0.19,167,3.16,0.09,0.08,0.43,0.1,0.89,2.42,0.09,0.09,0.09,0,0,2,2,0,4,0,0,0,0,0,0,1,3,2,4,1,2,0,8,3,5,4,0,0,0.09,0,0,0,0,0,4,4,4,4,0.02,0,0,0.11,0.11,0.11,176,4,140,13,19,8,26,24,118,0,0,10137,2,0,0,0,29.5,3.07,2.97,3.07,2.97,32,5,1,38,3,2,0,20,13,4,0.5,1.63,0.95,0,2,1,38,37,37,0.33,0.2,0.2,3.2,3.2,3.11,172.75,20.52,19.32,20.52,19.32,165,70,77,312,22,17,1,169,38,28,4.64,4.32,11.55,7,5,10,312,235,235,4.05,4.8,4.8,19.77,19.77,19.16,2.29,15.44,47,222,0.2,0.04,3,1,3,1
8480950,2024,Ilya Lyubushkin,DAL,D,5on4,80,104,19,4.75,1,0.89,1,0.91,1,0.88,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,1,16,0,2,2,15,0,0,6478,0,0,0,3,0.69,0.04,0.04,0.04,0.04,1,0,1,2,0,0,0,1,0,0,0.04,0,0,0,0,0,2,1,1,0.01,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.43,1.34,193,20,0,0,0,0,0,0
8477369,2024,Carson Soucy,NYR,D,other,75,2142,35,1.73,0.44,0.47,0.27,0.51,0.27,0.52,111,0.85,0.02,0.03,0.44,0.03,0.28,0.21,0.01,0.02,0.01,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,2,1,0,0,0.02,0,0,0,0,0,2,1,1,1,0.01,0,0,0.03,0.03,0.02,35,1,8,6,20,5,1,10,19,0,0,4457,0,0,0,4,11.45,5.15,4.97,5.15,4.97,7,11,6,24,2,1,0,7,1,10,0.11,0.16,4.88,0,0,2,24,18,18,0.1,0.16,0.16,5.09,5.09,4.91,36.29,6.51,6.12,6.51,6.12,37,12,15,64,10,3,1,31,9,9,1.18,1.13,4.21,2,2,6,64,49,49,0.77,1.07,1.07,6.21,6.21,5.89,10.14,11.31,97,94,0.02,0,1,0,1,0
8477369,2024,Carson Soucy,NYR,D,all,75,80618,1872,8.07,0.37,0.51,0.42,0.53,0.41,0.52,303,87.27,3.13,4.8,23.46,2.79,53.64,39.18,3.07,3.15,3.08,3,6,81,46,69,196,13,4,7,0,21,0,39,56,77,123,18,36,0,115,17,78,123,3,1,2.35,0.43,0.35,4,0,0,195.73,127,127.79,52,0.96,1.12,0.09,4,4.02,3.93,1872,126,273,240,1233,194,232,221,1225,0,0,192377,36,8,4,106,538.63,46.34,44.59,47.17,45.37,480,270,299,1049,42,52,8,584,115,51,14.99,14.73,16.61,20,12,10,1062.47,750,761.67,6.85,10.21,10.29,42.89,43.55,42.73,768.99,77.43,73.71,77.42,73.7,687,375,391,1453,77,79,12,781,197,84,20.93,25.13,31.37,25,24,28,1454.16,1062,1063.32,11.61,18.94,18.94,70.1,70.13,68.14,159.15,151.54,3199,2871,0,0,0,0,0,0
8477369,2024,Carson Soucy,NYR,D,5on5,75,69895,1609,8.07,0.44,0.5,0.46,0.51,0.46,0.51,294,84.19,2.74,4.7,22.79,2.69,52.66,37.41,2.68,2.76,2.69,3,6,79,44,67,190,13,4,7,0,21,0,39,52,75,119,18,36,0,99,17,71,120,3,0,2.31,0.43,0,4,0,0,189.73,123,123.79,47,0.93,1.12,0.09,3.58,3.6,3.52,1609,115,172,217,1105,178,198,175,1058,0,0,152096,36,8,4,88,500.51,38.38,36.84,39.22,37.62,446,249,285,980,38,49,8,549,109,37,14.18,13.93,10.26,19,12,7,993.47,695,706.67,6.42,9.87,9.87,34.95,35.6,34.99,594.91,48.42,46.67,48.41,46.65,524,304,326,1154,44,53,7,643,137,48,16.64,17.56,14.22,19,16,9,1155.16,828,829.32,7.67,11.5,11.5,44.59,44.62,43.79,95.12,95,2385,2269,5.71,1.21,107,19,75,15
8477369,2024,Carson Soucy,NYR,D,4on5,75,7790,184,5.77,0.05,0.13,0.12,0.17,0.14,0.2,212,1.46,0.03,0.03,0.13,0.05,0.42,1.34,0.03,0.03,0.03,0,0,2,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,11,0,5,2,0,0,0.03,0,0,0,0,0,2,2,2,4,0.01,0,0,0.03,0.03,0.03,184,1,90,13,80,7,27,32,118,0,0,11540,0,0,0,1,20.5,1.27,1.25,1.27,1.25,22,7,2,31,2,2,0,25,3,1,0.61,0.45,0.21,1,0,1,31,29,29,0.21,0.18,0.18,1.29,1.29,1.27,134.68,22.31,20.74,22.31,20.74,122,59,49,230,22,23,4,104,50,27,3.01,6.36,12.94,4,5,13,230,181,181,3.14,6.37,6.37,19.09,19.09,18.25,2.83,19.23,58,289,0.11,0,4,0,4,0
8477369,2024,Carson Soucy,NYR,D,5on4,75,791,44,1.82,0.99,0.87,0.87,0.85,0.89,0.84,101,0.78,0.35,0.04,0.1,0.02,0.27,0.23,0.35,0.35,0.35,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0.35,0,0,0,2,1,1,0,0.02,0,0,0.36,0.36,0.36,44,9,3,4,28,4,6,4,30,0,0,8649,0,0,0,7,6.16,1.54,1.53,1.54,1.53,5,3,5,13,0,0,0,3,2,3,0.1,0.19,1.25,0,0,0,13,8,8,0.12,0,0.09,1.57,1.57,1.57,0.8,0.01,0.01,0.01,0.01,1,0,1,2,0,0,0,1,0,0,0.01,0,0,0,0,0,2,1,1,0,0,0,0.01,0.01,0.01,17.17,2.55,226,39,0,0,0,0,0,0
8481518,2024,Nolan Foote,NJD,L,other,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481518,2024,Nolan Foote,NJD,L,all,7,4126,102,1.92,0.57,0.55,0.58,0.55,0.58,0.54,72,8.64,0.51,0.53,2.4,0.32,4.67,3.58,0.51,0.48,0.48,0,1,5,7,3,15,1,0,0,0,0,0,4,8,5,12,0,0,1,11,1,2,9,3,0,0.25,0.26,0,0,0,0,13.89,12,11.31,0,0.11,0,0,0.62,0.58,0.58,102,9,8,6,79,15,13,10,64,1,1,21464,0,0,0,1,36.49,2.71,2.55,2.58,2.42,33,17,18,68,3,5,2,41,5,4,1.05,0.49,1.17,2,0,1,63.59,50,47.29,0.45,1.12,1.12,2.05,1.94,1.89,25.26,2.08,2.06,2.1,2.09,23,13,14,50,3,0,0,27,8,1,0.9,0.97,0.21,2,1,0,51.58,36,36.64,0.33,0,0,2.41,2.44,2.42,20.9,17.22,383,309,0,0,0,0,0,0
8481518,2024,Nolan Foote,NJD,L,5on5,7,4075,100,1.92,0.57,0.56,0.58,0.57,0.59,0.55,64,8.64,0.51,0.53,2.4,0.32,4.67,3.58,0.51,0.48,0.48,0,1,5,7,3,15,1,0,0,0,0,0,4,8,5,12,0,0,1,11,1,2,9,3,0,0.25,0.26,0,0,0,0,13.89,12,11.31,0,0.11,0,0,0.62,0.58,0.58,100,9,8,6,77,15,13,10,62,1,1,16828,0,0,0,1,36.49,2.71,2.55,2.58,2.42,33,17,18,68,3,5,2,41,5,4,1.05,0.49,1.17,2,0,1,63.59,50,47.29,0.45,1.12,1.12,2.05,1.94,1.89,24.54,2.04,2.03,2.07,2.06,23,12,14,49,3,0,0,26,8,1,0.86,0.97,0.21,2,1,0,50.58,35,35.64,0.33,0,0,2.37,2.4,2.38,11.78,9.15,283,217,0.09,0.02,4,2,3,1
8481518,2024,Nolan Foote,NJD,L,4on5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8481518,2024,Nolan Foote,NJD,L,5on4,7,51,2,0.61,0,0.67,0,0.83,0,0.75,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71,0.03,0.03,0.03,0.03,0,1,0,1,0,0,0,1,0,0,0.03,0,0,0,0,0,1,1,1,0.01,0,0,0.04,0.04,0.04,0.61,0.29,10,2,0,0,0,0,0,0
8477964,2024,Ivan Barbashev,VGK,C,other,70,2199,22,37.11,0.54,0.58,0.43,0.41,0.43,0.44,162,5.15,2.15,0.3,0.65,0.14,2.36,1.4,1.95,2.15,1.95,1,1,4,3,4,11,4,2,1,0,0,0,1,3,2,5,0,0,0,2,0,2,2,2,3,0.07,0.2,1.88,0,0,2,11,7,7,1,0.09,0.21,0.28,1.96,1.96,1.94,22,7,3,1,11,1,4,4,13,0,1,2701,0,0,0,3,23.4,7.41,6.35,7.41,6.35,20,13,15,48,6,6,0,13,7,13,0.57,0.88,5.96,0,1,5,48,33,33,0.55,1.5,1.5,6.45,6.45,5.65,30.8,6.24,5.59,6.24,5.59,25,18,21,64,1,4,0,21,13,9,0.83,1.83,3.58,0,0,1,64,43,43,0.8,1.5,1.5,5.54,5.54,5.03,11.1,8.11,59,84,0,0,0,0,0,0
8477964,2024,Ivan Barbashev,VGK,C,all,70,70553,1338,49.58,0.54,0.54,0.51,0.5,0.51,0.51,324,132.87,18.33,9.58,29.15,4.56,67.99,50.4,16.91,18.46,17.04,20,8,111,69,51,231,51,23,12,1,18,0,57,70,88,157,5,10,12,104,18,78,97,63,20,3.92,7.83,6.58,8,12,3,233.38,180,181.54,24,2.08,2.97,4,16.41,16.54,15.56,1338,207,136,208,787,220,187,215,716,12,21,184264,10,26,12,33,639.76,63.81,60.2,64.44,60.79,588,291,339,1218,74,68,9,630,177,72,19.72,21.72,22.37,28,28,18,1232.19,879,887.39,9.11,13.42,13.25,59.67,60.27,57.74,610.98,53.46,50.85,53.32,50.7,533,309,331,1173,43,58,6,638,142,62,17.48,17.89,18.09,22,13,8,1166.09,842,838.67,8.33,12.47,12.47,49.31,49.2,47.82,167.75,145.3,2965,2942,0,0,0,0,0,0
8477964,2024,Ivan Barbashev,VGK,C,5on5,70,64523,1217,49.58,0.53,0.51,0.5,0.51,0.5,0.51,195,118.75,14.6,8.59,26.73,4.08,60.98,46.03,14.08,14.74,14.21,18,7,100,61,45,206,43,18,11,1,17,0,51,64,82,143,4,8,11,102,18,73,89,57,15,3.72,7.15,3.74,8,9,1,208.38,161,162.54,23,1.81,2.77,3.71,12.7,12.84,12.6,1217,179,129,202,707,202,176,194,645,11,17,155194,8,26,12,30,571.75,51.5,49.69,52.12,50.29,522,264,302,1088,62,60,9,574,159,53,18.15,19.56,13.78,28,23,11,1102.19,786,794.39,7.75,11.62,11.45,47.8,48.41,47.42,570.52,46.53,44.57,46.39,44.42,498,288,305,1091,41,54,6,607,127,52,16.36,15.88,14.3,21,13,7,1084.09,786,782.67,7.4,10.97,10.97,42.95,42.83,41.97,108.42,103.12,2432,2368,0.9,0.33,23,21,17,13
8477964,2024,Ivan Barbashev,VGK,C,4on5,70,22,3,2.53,0,0.22,0,0.16,0,0.27,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,1.63,4,21,0,0,0,0,0,0
8477964,2024,Ivan Barbashev,VGK,C,5on4,70,3809,96,39.08,0.92,0.94,0.84,0.89,0.84,0.9,310,8.19,1.47,0.66,1.67,0.32,4.38,2.51,0.77,1.47,0.77,1,0,6,5,2,13,3,2,0,0,1,0,5,3,4,9,1,2,1,0,0,3,6,3,2,0.13,0.37,0.96,0,2,0,13,11,11,0,0.16,0,0,1.63,1.63,0.91,96,21,4,5,66,17,7,17,55,1,0,10084,2,0,0,0,43.07,4.77,4.02,4.77,4.02,44,14,22,80,5,2,0,42,10,6,0.96,1.17,2.63,0,3,2,80,58,58,0.79,0.3,0.3,5.25,5.25,4.51,7.96,0.4,0.4,0.4,0.4,8,3,4,15,1,0,0,10,1,0,0.29,0.1,0,1,0,0,15,11,11,0.09,0,0,0.48,0.48,0.48,28.68,1.8,295,35,0,0,0,0,0,0
8481178,2024,Egor Zamula,PHI,D,other,63,1235,25,4.32,0.25,0.53,0.49,0.52,0.48,0.52,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,2,4,4,15,5,2,4,14,0,0,4238,0,0,0,2,11.69,0.92,0.91,0.92,0.91,11,5,5,21,2,0,0,11,5,0,0.36,0.56,0,1,1,0,21,16,16,0.19,0,0,1.11,1.11,1.1,13.2,2.71,2.37,2.71,2.37,13,4,5,22,4,3,1,7,5,5,0.39,0.66,1.66,1,0,3,22,17,17,0.28,1.22,1.3,1.69,1.69,1.57,11.27,10.14,94,87,0,0.03,2,1,0,1
8481178,2024,Egor Zamula,PHI,D,all,63,62455,1396,15.28,0.53,0.51,0.5,0.48,0.52,0.49,309,38.87,1.52,2.07,11.29,1.35,23.73,17.04,1.51,1.52,1.5,5,7,37,20,56,113,15,3,2,0,12,0,12,28,34,54,3,6,0,24,15,52,55,1,1,1.05,0.11,0.36,3,0,0,111.22,57,56.82,35,0.43,0.03,0,1.95,1.94,1.93,1396,105,114,169,1008,171,168,184,873,0,0,168044,6,4,2,91,500.43,44.48,42.84,44.85,43.19,452,234,257,943,41,57,9,527,112,47,15.44,14.52,14.51,20,13,8,942.11,686,687.85,6.98,11.37,11.92,39.53,39.65,39.27,453.62,38.71,37.21,39.05,37.56,420,205,317,942,58,38,3,473,116,36,13.24,14.83,10.63,27,19,12,958.6,625,634.87,6.17,7.83,7.83,37.05,37.45,36.73,150.43,145.02,2573,2833,0,0,0,0,0,0
8481178,2024,Egor Zamula,PHI,D,5on5,63,56910,1260,15.28,0.55,0.52,0.5,0.47,0.52,0.49,280,36.53,0.98,1.93,10.86,1.28,22.95,16,0.97,0.98,0.96,5,7,34,20,51,105,15,3,2,0,11,0,11,27,31,51,3,6,0,22,13,51,54,0,0,0.98,0,0,3,0,0,103.22,54,53.82,35,0.39,0.03,0,1.37,1.36,1.35,1260,94,100,158,908,154,153,162,791,0,0,134148,6,4,2,82,459.39,40.28,38.68,40.66,39.04,414,218,234,866,37,54,8,487,102,43,14.3,13.34,12.64,19,12,6,865.11,632,633.85,6.21,10.63,11.19,35.3,35.43,35.06,414.3,32.73,31.82,33.08,32.17,382,191,290,863,48,34,2,443,102,28,12.26,12.89,7.58,24,16,8,879.6,573,582.87,5.4,6.3,6.22,31.92,32.32,31.93,96.81,88.85,1958,2212,6.23,0.6,115,14,94,8
